team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,model_version,model_status,parameter_config_path,rating_col,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Belgium,BEL,G,100,0.58,0.29,0.11,0.02,0.95,0.95,0.72,0.44,0.15,0.02,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.87,0.08,6.41,3.67,58,29,11,2,87,8,95,95,72,44,15,2,0
Austria,AUT,J,100,0.1,0.42,0.37,0.11,0.81,0.81,0.26,0.12,0.03,0.01,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.52,0.29,4.29,-0.18,10,42,37,11,52,29,81,81,26,12,3,1,0
Canada,CAN,B,100,0.22,0.31,0.37,0.1,0.79,0.79,0.28,0.07,0.02,0.01,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.53,0.26,4.51,0.49,22,31,37,10,53,26,79,79,28,7,2,1,0
Egypt,EGY,G,100,0.21,0.28,0.42,0.09,0.87,0.87,0.37,0.09,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.49,0.38,4.66,0.6,21,28,42,9,49,38,87,87,37,9,1,0,0
South Korea,KOR,A,100,0.26,0.39,0.23,0.12,0.81,0.81,0.39,0.13,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.65,0.16,4.64,0.5,26,39,23,12,65,16,81,81,39,13,1,0,0
USA,USA,D,100,0.2,0.32,0.24,0.24,0.75,0.75,0.37,0.15,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.52,0.23,4.14,0.44,20,32,24,24,52,23,75,75,37,15,1,0,0
Cote d'Ivoire,CIV,E,100,0.2,0.19,0.47,0.14,0.73,0.73,0.34,0.14,0.02,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.39,0.34,4.03,0.11,20,19,47,14,39,34,73,73,34,14,2,0,0
Czechia,CZE,A,100,0.21,0.18,0.37,0.24,0.67,0.67,0.27,0.06,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.39,0.28,3.81,-0.36,21,18,37,24,39,28,67,67,27,6,1,0,0
Algeria,ALG,J,100,0.08,0.35,0.37,0.2,0.65,0.65,0.14,0.05,0.02,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.43,0.22,3.5,-1.33,8,35,37,20,43,22,65,65,14,5,2,0,0
Panama,PAN,L,100,0.04,0.21,0.49,0.26,0.64,0.64,0.15,0.03,0.01,0.0,0.0,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.25,0.39,3.22,-1.68,4,21,49,26,25,39,64,64,15,3,1,0,0
