base_total_goals,share_scale,mismatch_total_bonus,mismatch_scale,draw_boost_max,draw_boost_scale,status,error,n_matches,accuracy,mean_brier_score,mean_log_loss,mean_actual_outcome_probability,predicted_draw_rate,actual_draw_rate,draw_calibration_error,goal_mae,goal_rmse
2.75,220,0.7,800,0.035,300,ok,,866,0.6004618937644342,0.5299197591446467,0.8984775796202242,0.4705987307992412,0.22240357366908514,0.22632794457274827,0.003924370903663127,0.9580830718393346,1.2585145035842173
2.75,220,0.7,800,0.045,220,ok,,866,0.6004618937644342,0.529922604623883,0.898479708719261,0.4705479994376416,0.22450987724168422,0.22632794457274827,0.0018180673310640438,0.9580830718393346,1.2585145035842173
2.55,220,0.9,650,0.025,220,ok,,866,0.6004618937644342,0.5298715771962617,0.8984814865378501,0.46957087006509246,0.22271799323878066,0.22632794457274827,0.0036099513339676037,0.941423565913288,1.2511784027912847
2.55,220,0.9,650,0.035,150,ok,,866,0.6004618937644342,0.5298744135953937,0.8984892503806277,0.46970125982010325,0.22399295445585468,0.22632794457274827,0.002334990116893587,0.941423565913288,1.2511784027912847
2.65,220,0.9,500,0.045,220,ok,,866,0.6004618937644342,0.5300463491109688,0.8985021346675828,0.47233029006693167,0.22309857020880106,0.22632794457274827,0.0032293743639472128,0.9584881020836582,1.2574720667583579
2.55,220,0.9,500,0.045,220,ok,,866,0.6004618937644342,0.529998951098581,0.898502890440625,0.46998371481870854,0.22857955827552176,0.22632794457274827,0.0022516137027734917,0.9473206450540421,1.2525788790842172
2.65,220,0.9,650,0.025,300,ok,,866,0.6004618937644342,0.5299508615009,0.8985070577096795,0.4712867760754914,0.21915188926129897,0.22632794457274827,0.0071760553114492975,0.951383798294315,1.25412365511037
2.65,220,0.7,650,0.045,220,ok,,866,0.6004618937644342,0.5299394963600306,0.8985084870006677,0.4697557206131545,0.2273279992406841,0.22632794457274827,0.001000054667935818,0.9513838434059909,1.2554956501884784
2.65,220,0.9,800,0.035,220,ok,,866,0.6004618937644342,0.5298783518268233,0.8985100335074401,0.46922951898438864,0.22492031420553324,0.22632794457274827,0.0014076303672150292,0.947448973606558,1.2539702558394816
2.65,220,0.9,800,0.035,300,ok,,866,0.6004618937644342,0.5298845979677653,0.8985122110046694,0.46817510854429834,0.2279544050319149,0.22632794457274827,0.0016264604591666176,0.947448973606558,1.2539702558394816
2.55,220,0.9,650,0.035,300,ok,,866,0.6004618937644342,0.5299110669602926,0.898512975387578,0.467414364920998,0.23089247846414307,0.22632794457274827,0.004564533891394801,0.941423565913288,1.2511784027912847
2.45,220,0.9,500,0.035,220,ok,,866,0.6004618937644342,0.5299455572967168,0.8985162155567697,0.46863311136432656,0.22926238126868972,0.22632794457274827,0.002934436695941456,0.9376889806673158,1.2500031302840564
