team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualification_probability,r32_probability,r16_probability,qf_probability,sf_probability,final_probability,champion_probability,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,bracket_mapping_note,qualified_top_2_probability,qualified_best_third_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count,r32_count,r16_count,qf_count,sf_count,final_count,champion_count
Egypt,EGY,G,10000,0.1827,0.3224,0.388,0.1069,0.7942,0.7942,0.341,0.1093,0.0269,0.0063,0.0012,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.5051,0.2891,4.3943,0.4475,1827,3224,3880,1069,5051,2891,7942,7942,3410,1093,269,63,12
Canada,CAN,B,10000,0.2615,0.3658,0.2395,0.1332,0.8069,0.8069,0.3685,0.1147,0.0291,0.0069,0.0009,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.6273,0.1796,4.7076,0.8227,2615,3658,2395,1332,6273,1796,8069,8069,3685,1147,291,69,9
Cote d'Ivoire,CIV,E,10000,0.1319,0.2826,0.428,0.1575,0.7175,0.7175,0.2585,0.087,0.0209,0.0041,0.0009,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.4145,0.303,3.9276,-0.3374,1319,2826,4280,1575,4145,3030,7175,7175,2585,870,209,41,9
Algeria,ALG,J,10000,0.087,0.3414,0.3719,0.1997,0.6621,0.6621,0.1903,0.0639,0.0189,0.0051,0.0008,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.4284,0.2337,3.71,-0.9066,870,3414,3719,1997,4284,2337,6621,6621,1903,639,189,51,8
Czechia,CZE,A,10000,0.1643,0.2627,0.3113,0.2617,0.6514,0.6514,0.2614,0.081,0.0165,0.0025,0.0005,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.427,0.2244,3.7509,-0.5834,1643,2627,3113,2617,4270,2244,6514,6514,2614,810,165,25,5
Paraguay,PAR,D,10000,0.1566,0.2068,0.2726,0.364,0.5565,0.5565,0.2068,0.0707,0.0154,0.0035,0.0003,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.3634,0.1931,3.3678,-1.1274,1566,2068,2726,3640,3634,1931,5565,5565,2068,707,154,35,3
Panama,PAN,L,10000,0.0679,0.2007,0.5119,0.2195,0.6005,0.6005,0.18,0.0549,0.0147,0.0028,0.0003,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.2686,0.3319,3.3146,-1.4517,679,2007,5119,2195,2686,3319,6005,6005,1800,549,147,28,3
Scotland,SCO,C,10000,0.0657,0.1832,0.5372,0.2139,0.5962,0.5962,0.1624,0.0342,0.0072,0.0011,0.0003,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.2489,0.3473,3.3008,-1.5293,657,1832,5372,2139,2489,3473,5962,5962,1624,342,72,11,3
Sweden,SWE,F,10000,0.0905,0.2176,0.3443,0.3476,0.5304,0.5304,0.1554,0.0397,0.0107,0.002,0.0002,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.3081,0.2223,3.1571,-1.6406,905,2176,3443,3476,3081,2223,5304,5304,1554,397,107,20,2
Bosnia and Herzegovina,BIH,B,10000,0.0806,0.1841,0.3191,0.4162,0.4642,0.4642,0.1165,0.0224,0.003,0.0005,0.0001,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']","Uses fixed_approximation bracket slots from data/raw/matches.csv; best-third placement is approximated, not official FIFA bracket mapping.",0.2647,0.1995,2.8592,-2.077,806,1841,3191,4162,2647,1995,4642,4642,1165,224,30,5,1
