game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2218677,506,4,,Massimo Carrera,6195,2,,Walter Mazzarri,Home,1
2218677,6195,2,,Walter Mazzarri,506,4,,Massimo Carrera,Away,0
2219366,3300,1,,Paulo Bento,3445,0,,Michal Bilek,Away,1
2219366,3445,0,,Michal Bilek,3300,1,,Paulo Bento,Home,0
2219367,3262,4,,Joachim Löw,3378,2,,Fernando Santos,Home,1
2219367,3378,2,,Fernando Santos,3262,4,,Joachim Löw,Away,0
2219615,3375,2,,Vicente del Bosque,3377,0,,Laurent Blanc,Home,1
2219615,3377,0,,Laurent Blanc,3375,2,,Vicente del Bosque,Away,0
2219616,3299,2,,Roy Hodgson,3376,4,,Cesare Prandelli,Home,0
2219616,3376,4,,Cesare Prandelli,3299,2,,Roy Hodgson,Away,1
2219794,58,3,,John van den Brom,498,2,,Peter Maes,Home,1
2219794,498,2,,Peter Maes,58,3,,John van den Brom,Away,0
